"phip" "maxpro" "cd2" "upd" "cor1" "design" "iteration"
"UniPro10" 0.0298567764630469 42.0436191428207 0.927950207565842 0.00854280623178785 0.00547769740807715 "UniPro" 11
"randomLHD10" 0.0377413860900852 159.081210341762 2.15492692310226 0.0356081378270628 0.0761728953184649 "randomLHD" 11
"maximin11" 0.0231000288230649 105.378863457958 1.28134012807168 0.0218427874852607 0.0283529234478602 "maximin" 12
"MaxPro11" 0.0277474056176728 33.3280832602262 1.22083982693388 0.0184243042960976 0.0482996785211975 "MaxPro" 12
"ud11" 0.0262169668820648 34.0149312001718 0.713202049452821 0.00876487392849727 0.00793483356774496 "ud" 12
"UniPro11" 0.0295084675642868 41.2063436574036 0.923278517407344 0.00839105103506502 0.00592559105217333 "UniPro" 12
"randomLHD11" 0.0344216033483689 117.905307298299 2.23063095561022 0.039705981542202 0.0935277275467149 "randomLHD" 12
"maximin12" 0.0233088771594472 79.2127856977228 1.3234535634989 0.0227142975822287 0.0396582613354765 "maximin" 13
"MaxPro12" 0.028583133476643 31.9392126125026 1.16208742738764 0.017271853734566 0.0431719241845824 "MaxPro" 13
"ud12" 0.0285187306725123 36.5032139734586 0.701245411633944 0.00871899074978595 0.00661124506061215 "ud" 13
"UniPro12" 0.0316944327837207 44.5945780347098 0.932357577787135 0.00826382543168587 0.00485232067510548 "UniPro" 13
"randomLHD12" 0.0425721094808479 125.658508309586 1.9005752607965 0.0312021210685656 0.0706123166566204 "randomLHD" 13
"maximin13" 0.0229428052901153 66.1765571250585 1.18329325455584 0.0200569402300965 0.0222833366820709 "maximin" 14
"MaxPro13" 0.0274257325224676 31.7566442408645 1.13352180110442 0.0169556305900414 0.037426327774429 "MaxPro" 14
"ud13" 0.0263430779044602 32.8834202307912 0.713277977199955 0.00877422974601555 0.00689756211908111 "ud" 14
"UniPro13" 0.0342362899578455 45.2059807726482 0.934009666402824 0.00816136702280479 0.0044973544973545 "UniPro" 14
"randomLHD13" 0.036197519965362 100.568688207027 2.06412181592868 0.0352282615540593 0.0850210970464135 "randomLHD" 14
"maximin14" 0.0232208470004774 105.864696022237 1.28861801974389 0.0220826774476112 0.0343421405130266 "maximin" 15
"MaxPro14" 0.0281992874660763 32.1707851726777 1.21998306733708 0.0188445858425663 0.0475863974281696 "MaxPro" 15
"ud14" 0.025735538038402 35.1044378574261 0.719177336423082 0.00893256584047 0.00915461121157324 "ud" 15
"UniPro14" 0.0307162344080654 42.1068522235276 0.921406800065827 0.00851557365297434 0.00520477529971201 "UniPro" 15
"randomLHD14" 0.0364240293978493 122.787475906375 2.38582085270282 0.0406012582930288 0.0859579063692988 "randomLHD" 15
"maximin15" 0.0232220836957383 79.3007273636663 1.26985399203421 0.0212092425634053 0.0295517714821512 "maximin" 16
"MaxPro15" 0.0297360847962659 32.5447670099445 1.17517837470327 0.017041376265254 0.0444846292947559 "MaxPro" 16
"ud15" 0.0272174466410865 33.9888841510014 0.714317038781243 0.008813887338786 0.00627972004554283 "ud" 16
"UniPro15" 0.035759581534649 54.6300850502786 0.968240930558073 0.00832940552725793 0.00496785211975085 "UniPro" 16
"randomLHD15" 0.0372359677024983 120.781982174002 2.12695369192319 0.0367969740610152 0.0848712410421271 "randomLHD" 16
"maximin16" 0.0231467957862774 85.8509212414124 1.30265241266703 0.022497378636914 0.0304810461456031 "maximin" 17
"MaxPro16" 0.0276504919330169 32.3564672560293 1.19295246325963 0.0176350979275104 0.0479271314714353 "MaxPro" 17
"ud16" 0.0335597279761034 48.8706270263687 0.719992396101055 0.00866515774196643 0.00666063893911995 "ud" 17
"UniPro16" 0.0312549450739954 38.7339008061987 0.914248995364431 0.00834731062631794 0.00643543634049963 "UniPro" 17
"randomLHD16" 0.0359999400318195 123.385654756914 2.47434053232285 0.0446511545332658 0.108083015203268 "randomLHD" 17
"maximin17" 0.0229503900671411 72.4799904820351 1.30525479409613 0.0225458514501179 0.0268627352488112 "maximin" 18
"MaxPro17" 0.027696516586788 32.7186863039955 1.26204546047495 0.0188749377538312 0.0451870269908245 "MaxPro" 18
"ud17" 0.0262829546471955 33.4771777858681 0.714803205029346 0.00876704721601285 0.01009225771884 "ud" 18
"UniPro17" 0.0332247707137544 43.6455933293458 0.931471451507804 0.00842700074211028 0.00476274194628625 "UniPro" 18
"randomLHD17" 0.0386025468526804 87.6958724744022 2.10435029327203 0.0362925817096051 0.0850152367557431 "randomLHD" 18
"maximin18" 0.0229499761516138 73.4362184529093 1.28534985450928 0.022223326425708 0.0228777375929275 "maximin" 19
"MaxPro18" 0.0278971558791709 33.7115319119782 1.2895139159925 0.0197335716126443 0.0533026923849709 "MaxPro" 19
"ud18" 0.0266863645959252 35.5453434827363 0.726046644680478 0.00896718803284451 0.00638185654008439 "ud" 19
"UniPro18" 0.0344201802471593 51.7676075863441 0.940687294486975 0.00845408727251917 0.00534542227580202 "UniPro" 19
"randomLHD18" 0.0370473291224046 107.688944186115 2.28765858473383 0.0404527684771852 0.0997387984729757 "randomLHD" 19
"maximin19" 0.0229094409084163 82.4153716970635 1.19754966872943 0.0201467491028753 0.0200011720581341 "maximin" 20
"MaxPro19" 0.0289253229796604 31.7739267548768 1.15261370221209 0.0169150334918232 0.0499430714620588 "MaxPro" 20
"ud19" 0.0267462466725818 34.7431841227937 0.706308266138889 0.0087149907672196 0.0046957671957672 "ud" 20
"UniPro19" 0.0303097798138688 45.7436749314998 0.911011542716911 0.0084682278103234 0.00433242917420133 "UniPro" 20
"randomLHD19" 0.0339840275734543 126.963249623218 1.76556123027205 0.0290510612366606 0.056588641082312 "randomLHD" 20
"maximin20" 0.0230458858234637 102.609212388927 1.26519535505918 0.0215309632316415 0.0272603978300181 "maximin" 21
"MaxPro20" 0.0281075618020316 32.5156254981387 1.24148196743641 0.019519120231527 0.0582370571294622 "MaxPro" 21
"ud20" 0.0256960782553903 34.6105214797392 0.71025157302469 0.00863572789751889 0.00869834572366218 "ud" 21
"UniPro20" 0.0365213019184551 48.2624059828819 0.924209156032996 0.0083353106786227 0.00607042395017079 "UniPro" 21
"randomLHD20" 0.0443982348184372 147.026632302735 2.27821018108518 0.0385507190038221 0.0932849440760833 "randomLHD" 21
"maximin21" 0.0229522191785079 95.3736054698474 1.26156731151865 0.0212776804121739 0.0290812738597549 "maximin" 22
"MaxPro21" 0.0278455044822294 32.6119605947666 1.1986211996253 0.0178129696316153 0.0449467550733374 "MaxPro" 22
"ud21" 0.0257946535621561 33.1683638127528 0.718734143079924 0.00892635769313838 0.0073228517848771 "ud" 22
"UniPro21" 0.0329018176488945 42.0617717622222 0.942603716853396 0.0085225774371353 0.0060268903623334 "UniPro" 22
"randomLHD21" 0.0384923750684891 129.360233155515 1.97391294509277 0.0336972142779664 0.0766919496349876 "randomLHD" 22
"maximin22" 0.0232118847649985 90.5656969173842 1.32041920305361 0.0228086819118716 0.037001038108633 "maximin" 23
"MaxPro22" 0.0279572511038477 33.9371044739104 1.19409696910857 0.0174287380642353 0.0382534659433394 "MaxPro" 23
"ud22" 0.0264206361241748 32.6836333935671 0.709434509106566 0.00894858320932765 0.00699634987609671 "ud" 23
"UniPro22" 0.0328452183392141 46.4531281279805 0.915193602844799 0.00829705035496897 0.00462628089210368 "UniPro" 23
"randomLHD22" 0.0517750199811902 204.831847028247 2.35376332677284 0.0413572746155697 0.0975872346125511 "randomLHD" 23
"maximin23" 0.0229894583373368 104.722337508545 1.24231239153365 0.0207450004456551 0.0245562922778113 "maximin" 24
"MaxPro23" 0.0274928761998142 31.6760610946361 1.13497246669745 0.0166257900661774 0.0460920233072132 "MaxPro" 24
"ud23" 0.0259258070292437 33.6430291188355 0.716689004978432 0.00873737323094752 0.00708257986738999 "ud" 24
"UniPro23" 0.0473030574083954 73.5663678348558 0.907338686623205 0.00835384792751623 0.00499464201995848 "UniPro" 24
"randomLHD23" 0.0375826102205444 106.257634083336 2.3876528094527 0.0413183690631178 0.0968999062353493 "randomLHD" 24
"maximin24" 0.0230538191470647 80.33008910338 1.21896235035523 0.020673083592954 0.0239995646641216 "maximin" 25
"MaxPro24" 0.0296220367756792 33.4293421674067 1.2356982713551 0.0194241059318406 0.0529318197039716 "MaxPro" 25
"ud24" 0.0266052701182015 35.3156398498896 0.708809823834389 0.00884666321769659 0.00634418324291742 "ud" 25
"UniPro24" 0.0369813787960886 45.1854481828744 0.911318807139061 0.00844078596812063 0.00492683008505793 "UniPro" 25
"randomLHD24" 0.0377838103399295 89.4148201459831 2.03306857488479 0.0350943809388236 0.0714679190945014 "randomLHD" 25
"maximin25" 0.0229646823761696 82.5016233446252 1.2522194631138 0.0213815121120869 0.0303705378072467 "maximin" 26
"MaxPro25" 0.028363408297377 32.1889978732421 1.19463572448559 0.0177056916251906 0.0499388855401514 "MaxPro" 26
"ud25" 0.0261692373976468 34.9145252681255 0.713455645151262 0.00886756121922447 0.00641450673096243 "ud" 26
"UniPro25" 0.0326239857106414 42.5135427505692 0.923834283485769 0.00848247733949946 0.00488497086598352 "UniPro" 26
"randomLHD25" 0.0392746170328428 105.343947506 2.28759500841511 0.0395374307783934 0.0923799477596946 "randomLHD" 26
"maximin26" 0.0229363165302567 92.3299176550581 1.19991949360978 0.0200884648883095 0.02560193557029 "maximin" 27
"MaxPro26" 0.0288136806813409 32.5317410413356 1.21285196219558 0.0184723128061396 0.0502771080302726 "MaxPro" 27
"ud26" 0.0262796885045752 34.9100504648903 0.713450491130563 0.00878246949211903 0.00641701828410689 "ud" 27
"UniPro26" 0.0334279307576076 46.4296893000827 0.93350179141003 0.00837280588302479 0.00467986069251892 "UniPro" 27
"randomLHD26" 0.0411435834055957 117.432906628161 2.12855253410134 0.0360197349427282 0.0843546982787489 "randomLHD" 27
"maximin27" 0.0230207633484018 84.5339946049867 1.23608664954855 0.0207442549448246 0.0216403790770879 "maximin" 28
"MaxPro27" 0.0277444882824211 35.7057926301024 1.23220449250134 0.0190021241203188 0.0451552139843279 "MaxPro" 28
"ud27" 0.0265991972260593 34.7612262840646 0.714026986047411 0.00887651158891639 0.00721569218404661 "ud" 28
"UniPro27" 0.0293891955184866 41.6243454683166 0.94222125101564 0.00844775487506 0.00576317728216462 "UniPro" 28
"randomLHD27" 0.0347171214750326 116.861261405416 1.90158257178561 0.0323041544111911 0.0738915678789096 "randomLHD" 28
"maximin28" 0.0230896291651661 69.4787982590397 1.25535526504252 0.0214176732623403 0.02606322416449 "maximin" 29
"MaxPro28" 0.0275545953157473 31.830123370878 1.133986212283 0.0170935242668081 0.0386159667805237 "MaxPro" 29
"ud28" 0.0270039218157579 33.9715750298046 0.720930110859186 0.00878971741690437 0.00857025651329449 "ud" 29
"UniPro28" 0.0315799409225162 41.2885099478421 0.898336704372737 0.00853373161195659 0.00507668608934432 "UniPro" 29
"randomLHD28" 0.0353750520799767 100.949903633514 2.24102538009963 0.0391433463929239 0.0966788895586364 "randomLHD" 29
"maximin29" 0.0231278962727315 99.6374205390047 1.32621909287998 0.0224435979449461 0.0323772687696738 "maximin" 30
"MaxPro29" 0.0275520828062354 32.071367755697 1.14488112055067 0.0173038034590428 0.0503038979304802 "MaxPro" 30
"ud29" 0.0277863815392321 34.0055902354195 0.708387242399677 0.00866603185260412 0.0066924519456165 "ud" 30
"UniPro29" 0.0334974609923893 42.8232732995036 0.918724263019643 0.00837722439236653 0.00555471837117407 "UniPro" 30
"randomLHD29" 0.034582185738539 85.7713584997135 2.23421381864035 0.0379939911857471 0.0991963029937713 "randomLHD" 30
"maximin30" 0.0229255166180346 78.3382970528043 1.25209386274969 0.0215358874608489 0.0227605317795191 "maximin" 31
"MaxPro30" 0.0281416001341693 32.341345224752 1.19463306331842 0.0179914996434775 0.0532373920032148 "MaxPro" 31
"ud30" 0.0266208572878203 33.6397788686283 0.716153379889461 0.00871723598904507 0.00755475185854933 "ud" 31
"UniPro30" 0.032117935686604 42.1703508633212 0.930831192800707 0.00849357483878564 0.0062537673297167 "UniPro" 31
"randomLHD30" 0.0364383095229313 99.5706229110888 2.25725777707109 0.0396444886222567 0.089659098519858 "randomLHD" 31
"maximin31" 0.0229492393867579 98.5717533209817 1.1905610338935 0.0198762347509002 0.0178604915946688 "maximin" 32
"MaxPro31" 0.0272254936772815 31.9909756817217 1.13146202252459 0.0170194493853935 0.0388612618042998 "MaxPro" 32
"ud31" 0.0300002825662559 33.9346190379814 0.725606503282594 0.00883878314306141 0.00668240573303864 "ud" 32
"UniPro31" 0.0316816003335328 41.5163959012748 0.92347533897772 0.0083940962533998 0.00414489987274797 "UniPro" 32
"randomLHD31" 0.0388291826907048 112.937937990106 2.34745053189462 0.0410200139605878 0.087356004286384 "randomLHD" 32
"maximin32" 0.0230416085170559 94.6067007258835 1.30434115688913 0.0223547569153857 0.0301712879244525 "maximin" 33
"MaxPro32" 0.0287124222369336 31.6254055513588 1.1717802989045 0.0179886833069794 0.0510297367892305 "MaxPro" 33
"ud32" 0.0306842957580073 35.5518688290018 0.706736798170948 0.00865965367876295 0.0073513160538477 "ud" 33
"UniPro32" 0.0321019455784299 44.9466488620803 0.942565439135268 0.00836317540728881 0.00564345991561181 "UniPro" 33
"randomLHD32" 0.0387664271533412 90.2382801965687 2.10371831879443 0.0376959260002002 0.0920182841068917 "randomLHD" 33
"maximin33" 0.0231024510764155 104.844221675352 1.25628103467015 0.0209462878514904 0.0302039381153305 "maximin" 34
"MaxPro33" 0.0283331328274491 32.7603341625607 1.27759922567641 0.0193940199594584 0.0512030339561985 "MaxPro" 34
"ud33" 0.0258631058949639 34.6681704316809 0.715656677389753 0.00883390687004548 0.00508673230192217 "ud" 34
"UniPro33" 0.0322127896239731 44.0514482878998 0.939222058335787 0.00851005433097247 0.00585359319536535 "UniPro" 34
"randomLHD33" 0.0401467749874435 104.169542874893 2.35213184788734 0.0415845913357426 0.115461958341705 "randomLHD" 34
"maximin34" 0.0232449595439872 92.2529859955503 1.24386950029536 0.0209668893965478 0.0322073203402317 "maximin" 35
"MaxPro34" 0.0283564676983037 31.9972857219219 1.19592358929497 0.0180605413043249 0.0457387314982252 "MaxPro" 35
"ud34" 0.0263901602974172 34.3796781927501 0.719355125676913 0.00890200902544692 0.00802776103409015 "ud" 35
"UniPro34" 0.0296230005319927 42.0864148974894 0.931183777416345 0.00845203605531267 0.00446637867523943 "UniPro" 35
"randomLHD34" 0.0414576597734895 122.145972598932 2.24235157794996 0.0388110186864427 0.0866008639742817 "randomLHD" 35
"maximin35" 0.0228321408427998 87.5207035081033 1.24379618578019 0.0210869717068039 0.0303035630567276 "maximin" 36
"MaxPro35" 0.0280786750901927 32.5648093787424 1.22693203560016 0.0181174282497795 0.0466638202397696 "MaxPro" 36
"ud35" 0.0263986665616498 32.855614497027 0.708450913154235 0.0087171357169933 0.00772051436608399 "ud" 36
"UniPro35" 0.0314341465751237 43.6071835353117 0.912665846970828 0.00849621024963457 0.00584019824526154 "UniPro" 36
"randomLHD35" 0.0503218591165118 213.754369403272 2.13137819070546 0.0367789817689004 0.0847423146473779 "randomLHD" 36
"maximin36" 0.0235179922490569 81.5945885404915 1.31353244134318 0.022039373004246 0.0335602103007166 "maximin" 37
"MaxPro36" 0.0276469772265824 33.3176357488924 1.19745459729939 0.018374399336555 0.0455997588908981 "MaxPro" 37
"ud36" 0.0272111640016708 36.4084550150774 0.714483919213693 0.00881877887058576 0.00699216395418927 "ud" 37
"UniPro36" 0.0332817480385235 40.9914661678828 0.916974849723329 0.008504449995737 0.00533035295693524 "UniPro" 37
"randomLHD36" 0.0351502087356286 89.0574843707851 2.20321194679478 0.0383326382107262 0.0956633849038912 "randomLHD" 37
"maximin37" 0.0231326483462225 74.0777515330355 1.29596696915386 0.0222253950815227 0.0325932623400978 "maximin" 38
"MaxPro37" 0.0284926284606989 32.4505349185339 1.13768524103421 0.0169008558969681 0.04065032482754 "MaxPro" 38
"ud37" 0.0260798428127354 33.8843146540472 0.709597226629177 0.00885428389292287 0.00817845422275802 "ud" 38
"UniPro37" 0.0325763033992735 43.7436377365832 0.936880961719821 0.00845138646686228 0.00654845623200054 "UniPro" 38
"randomLHD37" 0.0476373075507884 112.4017611119 2.4139224492322 0.0427091858878872 0.0889391199517782 "randomLHD" 38
"maximin38" 0.023033806385922 78.9144131433332 1.23568595718846 0.0206689135839013 0.0314714352689036 "maximin" 39
"MaxPro38" 0.0275141565173516 31.8190021675422 1.17191907281504 0.017872583540654 0.0409090148014199 "MaxPro" 39
"ud38" 0.0268840089383504 33.2056333658025 0.71209719955363 0.00890565151639329 0.00645804031879981 "ud" 39
"UniPro38" 0.0353988275806163 48.520270828188 0.978022288484315 0.00846158805725139 0.00377319000736722 "UniPro" 39
"randomLHD38" 0.0432331274500952 103.114808229607 2.25833157031783 0.0399965982588454 0.0924226441631505 "randomLHD" 39
"maximin39" 0.0232557320278824 86.2803749050988 1.28256010903087 0.0214436851380236 0.0295224700287991 "maximin" 40
"MaxPro39" 0.0278449385957653 32.1130783614675 1.2174661439613 0.0186370793902668 0.0514215390797669 "MaxPro" 40
"ud39" 0.0265263347711468 34.2672461418943 0.718967900358236 0.00896983652266883 0.00783772017949233 "ud" 40
"UniPro39" 0.0368773493039003 41.5948581650128 0.912185327356596 0.00835745772103935 0.00565685486571563 "UniPro" 40
"randomLHD39" 0.0349514880020346 105.145375468958 2.22981561647284 0.0392571290031316 0.0938818565400844 "randomLHD" 40
"maximin40" 0.0235808641165279 99.0405443906494 1.31732475903705 0.0217745523604203 0.0345815752461322 "maximin" 41
"MaxPro40" 0.0275242477220034 32.4154067933357 1.16117745006568 0.0178915480356413 0.0448395954725069 "MaxPro" 41
"ud40" 0.0260701103752532 34.7143547105427 0.709944011606511 0.00871652318562045 0.0063667872212176 "ud" 41
"UniPro40" 0.0319584098694707 44.3944898781518 0.909317791975095 0.00837095956954838 0.00527928470966446 "UniPro" 41
"randomLHD40" 0.0401016716538723 291.813311368033 2.19223471114909 0.0384226934039351 0.0954088808519188 "randomLHD" 41
"maximin41" 0.023240813642487 84.2466357300739 1.33070012937482 0.0226657550145646 0.029359219074409 "maximin" 42
"MaxPro41" 0.0277581908845385 31.5026957003873 1.16063075680064 0.0170641358390684 0.0468379545911191 "MaxPro" 42
"ud41" 0.0271949083847356 37.1179100883861 0.71499630271521 0.00893771895150303 0.00675691514299109 "ud" 42
"UniPro41" 0.0308780669458341 41.986906709971 0.973276155075076 0.00841449725439009 0.00539314178554685 "UniPro" 42
"randomLHD41" 0.0383438200312053 90.2313894875983 1.95670757735036 0.0340043039473343 0.0847640814412966 "randomLHD" 42
"maximin42" 0.0231042384981332 118.874619880419 1.2081356229537 0.0200886196560342 0.0329013461924854 "maximin" 43
"MaxPro42" 0.0272346533141357 32.0517110798235 1.16044241515207 0.0175884082128104 0.0418081508271382 "MaxPro" 43
"ud42" 0.0269673492192809 34.7637833432601 0.713731518582916 0.00884675695025129 0.00796329783671556 "ud" 43
"UniPro42" 0.0317836017271633 43.5211463500046 0.906233749680063 0.00835232422843647 0.00508338356439622 "UniPro" 43
"randomLHD42" 0.0346974788100059 141.758183864151 2.56996261734452 0.0450142701164263 0.0977856473109638 "randomLHD" 43
"maximin43" 0.0236094421331354 80.2390212207869 1.33754677547386 0.0229347238691835 0.0283068783068783 "maximin" 44
"MaxPro43" 0.0277673491605318 32.0020986503876 1.21651747130203 0.0182802722264803 0.0500025115531445 "MaxPro" 44
"ud43" 0.0265646984804354 39.4313167850279 0.707373178574078 0.00882922896127125 0.00622948898265354 "ud" 44
"UniPro43" 0.0286239790088218 43.2066506939631 0.910364736454738 0.00838673933726553 0.00463548992030005 "UniPro" 44
"randomLHD43" 0.0363368710658502 116.826861570279 2.15102810136782 0.0357067357623388 0.0831240372379613 "randomLHD" 44
"maximin44" 0.0230040530791391 79.5014973501808 1.21244582888491 0.0205776965428978 0.0237559440091086 "maximin" 45
"MaxPro44" 0.029065781916923 32.850112019775 1.257922228367 0.0193368191189081 0.0505383095572969 "MaxPro" 45
"ud44" 0.0262958308950242 35.0997297100703 0.709861911017251 0.00874132089765459 0.00738731498225169 "ud" 45
"UniPro44" 0.0322568853028192 43.7954012708254 0.928906005320962 0.0083562653556659 0.00499129328243252 "UniPro" 45
"randomLHD44" 0.0355403756541763 224.247678463285 1.92878805167227 0.0325976877363809 0.0751155314446454 "randomLHD" 45
"maximin45" 0.023095232303595 70.1827689377885 1.29229702870828 0.0222945675319958 0.0345723662179358 "maximin" 46
"MaxPro45" 0.0280231679289392 33.0063748714875 1.2513389261485 0.0197114965045146 0.0530615832831023 "MaxPro" 46
"ud45" 0.0270615615258289 36.0843246585521 0.707558839038014 0.00869460938469312 0.0071671354899203 "ud" 46
"UniPro45" 0.0303724423816993 43.7007220068402 0.93128930609776 0.00844126117040579 0.0049435737726877 "UniPro" 46
"randomLHD45" 0.0473177390256424 158.249425739398 2.19384341250273 0.0386475098624998 0.0835535128256647 "randomLHD" 46
"maximin46" 0.0230946958241604 155.973930945726 1.23987179728835 0.0207512805272658 0.0298749246534057 "maximin" 47
"MaxPro46" 0.0280128809315195 32.5960409830789 1.18257052589992 0.0182705349392357 0.0474214721050164 "MaxPro" 47
"ud46" 0.026841082040094 35.9131161668224 0.714265640998679 0.00886218140617248 0.00618176947290871 "ud" 47
"UniPro46" 0.0348022134660906 46.3060991498938 0.923916386950951 0.00824517483180749 0.00418759627620387 "UniPro" 47
"randomLHD46" 0.0332073131452341 93.9265859059354 2.13203973521034 0.0377448652963679 0.0985759493670886 "randomLHD" 47
