iteration design nrow ncol nstep y 
5 UniPro 80 8 1 13.9045672125411
5 UniPro 80 8 2 13.9045672125411
5 UniPro 80 8 3 12.3158384706593
5 UniPro 80 8 4 12.3158384706593
5 UniPro 80 8 5 12.3158384706593
5 UniPro 80 8 6 10.8786582667134
5 UniPro 80 8 7 10.8786582667134
5 UniPro 80 8 8 10.8786582667134
5 UniPro 80 8 9 10.8786582667134
5 UniPro 80 8 10 10.8786582667134
5 UniPro 80 8 11 10.8786582667134
5 UniPro 80 8 12 10.8786582667134
5 UniPro 80 8 13 10.8786582667134
5 UniPro 80 8 14 10.8786582667134
5 UniPro 80 8 15 10.8786582667134
5 UniPro 80 8 16 10.8786582667134
5 UniPro 80 8 17 10.8786582667134
5 UniPro 80 8 18 10.8786582667134
5 UniPro 80 8 19 10.8786582667134
5 UniPro 80 8 20 10.8786582667134
5 UniPro 80 8 21 10.8786582667134
5 UniPro 80 8 22 10.8786582667134
5 UniPro 80 8 23 10.8786582667134
5 UniPro 80 8 24 10.8786582667134
5 UniPro 80 8 25 10.8786582667134
5 UniPro 80 8 26 10.8786582667134
5 UniPro 80 8 27 10.8786582667134
5 UniPro 80 8 28 10.8786582667134
5 UniPro 80 8 29 10.8786582667134
5 UniPro 80 8 30 10.8786582667134
8 UniPro 80 8 1 16.9473425899923
8 UniPro 80 8 2 16.9473425899923
8 UniPro 80 8 3 16.9152477316791
8 UniPro 80 8 4 16.8618958515746
8 UniPro 80 8 5 16.8618958515746
8 UniPro 80 8 6 16.8618958515746
8 UniPro 80 8 7 16.8618958515746
8 UniPro 80 8 8 16.7723642835755
8 UniPro 80 8 9 16.7723642835755
8 UniPro 80 8 10 16.7723642835755
8 UniPro 80 8 11 16.7723642835755
8 UniPro 80 8 12 16.7723642835755
8 UniPro 80 8 13 16.7723642835755
8 UniPro 80 8 14 16.7723642835755
8 UniPro 80 8 15 16.7723642835755
8 UniPro 80 8 16 16.7723642835755
8 UniPro 80 8 17 16.7723642835755
8 UniPro 80 8 18 16.7723642835755
8 UniPro 80 8 19 16.7723642835755
8 UniPro 80 8 20 15.2244138832474
8 UniPro 80 8 21 15.2244138832474
8 UniPro 80 8 22 15.2244138832474
8 UniPro 80 8 23 15.2244138832474
8 UniPro 80 8 24 14.1966820830721
8 UniPro 80 8 25 14.1966820830721
8 UniPro 80 8 26 12.0909559683553
8 UniPro 80 8 27 12.0909559683553
8 UniPro 80 8 28 12.0909559683553
8 UniPro 80 8 29 12.0909559683553
8 UniPro 80 8 30 12.0909559683553
4 UniPro 80 8 1 19.1138960000379
4 UniPro 80 8 2 17.3976506711143
4 UniPro 80 8 3 17.3976506711143
4 UniPro 80 8 4 17.3976506711143
4 UniPro 80 8 5 17.3976506711143
4 UniPro 80 8 6 17.3976506711143
4 UniPro 80 8 7 16.9575755464134
4 UniPro 80 8 8 16.9575755464134
4 UniPro 80 8 9 16.6634474807116
4 UniPro 80 8 10 16.6634474807116
4 UniPro 80 8 11 16.4318099025331
4 UniPro 80 8 12 16.4318099025331
4 UniPro 80 8 13 16.248690405171
4 UniPro 80 8 14 16.248690405171
4 UniPro 80 8 15 16.248690405171
4 UniPro 80 8 16 16.248690405171
4 UniPro 80 8 17 16.248690405171
4 UniPro 80 8 18 16.248690405171
4 UniPro 80 8 19 16.248690405171
4 UniPro 80 8 20 16.248690405171
4 UniPro 80 8 21 16.248690405171
4 UniPro 80 8 22 16.248690405171
4 UniPro 80 8 23 16.248690405171
4 UniPro 80 8 24 15.3306033928041
4 UniPro 80 8 25 15.3306033928041
4 UniPro 80 8 26 15.3306033928041
4 UniPro 80 8 27 15.3306033928041
4 UniPro 80 8 28 15.3306033928041
4 UniPro 80 8 29 15.3306033928041
4 UniPro 80 8 30 15.1831784981742
9 UniPro 80 8 1 16.3352447586592
9 UniPro 80 8 2 16.3352447586592
9 UniPro 80 8 3 16.1586619936534
9 UniPro 80 8 4 12.7480164775409
9 UniPro 80 8 5 12.7480164775409
9 UniPro 80 8 6 12.7480164775409
9 UniPro 80 8 7 12.7480164775409
9 UniPro 80 8 8 12.7480164775409
9 UniPro 80 8 9 12.7261115614142
9 UniPro 80 8 10 12.7261115614142
9 UniPro 80 8 11 12.7261115614142
9 UniPro 80 8 12 12.7261115614142
9 UniPro 80 8 13 12.7261115614142
9 UniPro 80 8 14 12.7261115614142
9 UniPro 80 8 15 12.7261115614142
9 UniPro 80 8 16 12.7261115614142
9 UniPro 80 8 17 12.7261115614142
9 UniPro 80 8 18 12.7261115614142
9 UniPro 80 8 19 11.792596851205
9 UniPro 80 8 20 11.792596851205
9 UniPro 80 8 21 11.792596851205
9 UniPro 80 8 22 11.792596851205
9 UniPro 80 8 23 11.792596851205
9 UniPro 80 8 24 11.792596851205
9 UniPro 80 8 25 11.792596851205
9 UniPro 80 8 26 11.792596851205
9 UniPro 80 8 27 11.792596851205
9 UniPro 80 8 28 11.792596851205
9 UniPro 80 8 29 11.792596851205
9 UniPro 80 8 30 11.792596851205
2 UniPro 80 8 1 17.9043908400274
2 UniPro 80 8 2 17.7276914145314
2 UniPro 80 8 3 17.7276914145314
2 UniPro 80 8 4 17.5504614090268
2 UniPro 80 8 5 17.5504614090268
2 UniPro 80 8 6 17.5504614090268
2 UniPro 80 8 7 17.438437871102
2 UniPro 80 8 8 17.438437871102
2 UniPro 80 8 9 17.438437871102
2 UniPro 80 8 10 16.5474067457509
2 UniPro 80 8 11 16.5474067457509
2 UniPro 80 8 12 16.5474067457509
2 UniPro 80 8 13 16.5474067457509
2 UniPro 80 8 14 16.5474067457509
2 UniPro 80 8 15 16.0103692669933
2 UniPro 80 8 16 16.0103692669933
2 UniPro 80 8 17 16.0103692669933
2 UniPro 80 8 18 16.0103692669933
2 UniPro 80 8 19 16.0103692669933
2 UniPro 80 8 20 16.0103692669933
2 UniPro 80 8 21 16.0103692669933
2 UniPro 80 8 22 16.0103692669933
2 UniPro 80 8 23 16.0103692669933
2 UniPro 80 8 24 16.0103692669933
2 UniPro 80 8 25 16.0103692669933
2 UniPro 80 8 26 16.0103692669933
2 UniPro 80 8 27 16.0103692669933
2 UniPro 80 8 28 16.0103692669933
2 UniPro 80 8 29 16.0103692669933
2 UniPro 80 8 30 14.2065350034428
1 UniPro 80 8 1 17.3958713944108
1 UniPro 80 8 2 16.1806072828768
1 UniPro 80 8 3 16.1806072828768
1 UniPro 80 8 4 14.9245738548642
1 UniPro 80 8 5 13.9621448794309
1 UniPro 80 8 6 13.5742292717505
1 UniPro 80 8 7 13.5742292717505
1 UniPro 80 8 8 12.7389236729177
1 UniPro 80 8 9 12.2309970591931
1 UniPro 80 8 10 12.2309970591931
1 UniPro 80 8 11 12.2309970591931
1 UniPro 80 8 12 10.2840855465331
1 UniPro 80 8 13 10.203043553906
1 UniPro 80 8 14 10.203043553906
1 UniPro 80 8 15 9.47238095725682
1 UniPro 80 8 16 9.47238095725682
1 UniPro 80 8 17 9.47238095725682
