"NP" "itermax" "pMut" "pCR" "pGBest"
"1" 100 1464.96164044422 0.176588859111002 0.814384011511806 0.95
"2" 100 1492.78542405802 0.174737717999938 0.95 0.898965177762468
"3" 100 1487.35901024949 0.177029798156297 0.95 0.926653899089602
"4" 100 1500 0.148115609714228 0.95 0.888434324104367
"5" 99.3541000188763 1495.15177216527 0.0921595372042852 0.95 0.885643958217671
"6" 100 1497.36800538659 0.152556353973484 0.95 0.909630508872637
"7" 100 1495.41549984402 0.154663462352582 0.814955414894888 0.95
"8" 100 1499.77655113867 0.140710732092277 0.95 0.794703780937978
"9" 100 1479.19620613996 0.161588925214585 0.95 0.95
"10" 100 1498.2370130889 0.125822708310132 0.948123528142478 0.95
"11" 100 1493.53691083877 0.138303075898795 0.95 0.895699808160161
"12" 100 1500 0.152048592474759 0.95 0.95
"13" 100 1495.04763639823 0.126933137878866 0.95 0.95
"14" 100 1466.9636349527 0.118232698472507 0.95 0.95
"15" 97.0043173729884 1467.84492034969 0.156916168685287 0.95 0.95
"16" 100 1500 0.140620614891532 0.95 0.95
"17" 88.7004324933908 1499.94523774687 0.151994629208764 0.908374437776026 0.917664010464194
"18" 100 1498.452620004 0.173580161377194 0.92181806346155 0.95
"19" 100 1500 0.128638578324458 0.95 0.931547455757261
"20" 100 1497.00830069668 0.12663275284176 0.925806957136758 0.95
"21" 100 1500 0.150983428251383 0.95 0.95
"22" 100 1480.26623354305 0.181691619506845 0.95 0.911406522538123
"23" 100 1494.0145177116 0.151025181482134 0.95 0.877432209602518
"24" 100 1491.47551844259 0.196766321141548 0.859182951059569 0.848814784991443
"25" 96.7544045101408 1478.51074168038 0.129346317555815 0.95 0.95
"26" 100 1477.75348112389 0.16273599419596 0.95 0.95
"27" 100 1487.47143218305 0.15644290055213 0.95 0.95
"28" 100 1478.65552696935 0.173254580460386 0.846117188150739 0.898608570791485
"29" 100 1484.84805966757 0.183507916187308 0.95 0.95
"30" 100 1468.52942988873 0.104598824575019 0.95 0.95
"31" 100 1496.15153616531 0.158664018845075 0.864306734407708 0.812753881690826
"32" 100 1500 0.132621636342428 0.95 0.95
"33" 100 1498.39002599281 0.166344290616129 0.863197239933333 0.95
"34" 100 1499.14942870616 0.209981599614903 0.691938432990325 0.904782465016654
"35" 100 1500 0.143092780033239 0.95 0.900710155007454
"36" 100 1491.7016932679 0.200472915532577 0.671895443521554 0.945817446749694
"37" 100 1500 0.156650921640993 0.95 0.95
"38" 100 1495.96076612204 0.163840269861197 0.95 0.95
"39" 100 1495.80491214214 0.157130395725768 0.894825632297634 0.95
"40" 100 1500 0.168813168965139 0.790120606098707 0.814085395145116
"41" 100 1484.32711048568 0.189403255643448 0.848144021826 0.897418858315098
"42" 98.4473679361497 1499.68002950262 0.144143860429362 0.879623812791437 0.710622782668517
"43" 100 1500 0.17487969341007 0.889737695283618 0.95
"44" 100 1500 0.159270287043189 0.95 0.95
"45" 100 1500 0.147635042477031 0.95 0.913277148219377
"46" 100 1494.32374809118 0.164459976425148 0.95 0.784720682747896
"47" 100 1500 0.150251662962005 0.95 0.80650945352609
"48" 100 1454.71666118603 0.123750406089802 0.95 0.837357447253457
"49" 100 1500 0.185516923460788 0.95 0.95
"50" 99.2299869548061 1475.30460971376 0.128543267445978 0.95 0.901909706297368
"51" 100 1488.11208303614 0.151902169777024 0.819529547442915 0.95
"52" 100 1498.2377903406 0.184639348580322 0.95 0.95
"53" 100 1479.02856937467 0.171600596562731 0.95 0.95
"54" 100 1500 0.136291079845214 0.95 0.95
"55" 100 1497.96446981979 0.164794872728349 0.938291117951974 0.835500469137283
"56" 100 1499.95362688811 0.166468595220949 0.930461682308857 0.894761501085389
"57" 100 1500 0.133893925278777 0.95 0.95
"58" 100 1479.0893212274 0.146766905335202 0.95 0.79335425693279
"59" 99.8967646051424 1421.0746195361 0.163769963653113 0.750391366098594 0.878928658729749
"60" 94.4190485668056 1381.44854300276 0.170639633329311 0.95 0.95
