method values ind nstep y
RSO 0.386475823045269 X1 1 0.386475823045269
RSO 0.386475823045269 X1 2 0.386475823045269
RSO 0.386475823045269 X1 3 0.386475823045269
RSO 0.386475823045269 X1 4 0.386475823045269
RSO 0.386475823045269 X1 5 0.386475823045269
RSO 0.386475823045269 X1 6 0.386475823045269
RSO 0.386475823045269 X1 7 0.386475823045269
RSO 0.386475823045269 X1 8 0.386475823045269
RSO 0.386475823045269 X1 9 0.386475823045269
RSO 0.386475823045269 X1 10 0.386475823045269
RSO 0.386475823045269 X1 11 0.386475823045269
RSO 0.386475823045269 X1 12 0.386475823045269
RSO 0.386475823045269 X1 13 0.386475823045269
RSO 0.386475823045269 X1 14 0.386475823045269
RSO 0.386157578875174 X1 15 0.386157578875174
RSO 0.386157578875174 X1 16 0.386157578875174
RSO 0.386157578875174 X1 17 0.386157578875174
RSO 0.386157578875174 X1 18 0.386157578875174
RSO 0.386157578875174 X1 19 0.386157578875174
RSO 0.386108196159121 X1 20 0.386108196159121
RSO 0.386108196159121 X1 21 0.386108196159121
RSO 0.386108196159121 X1 22 0.386108196159121
RSO 0.386108196159121 X1 23 0.386108196159121
RSO 0.386108196159121 X1 24 0.386108196159121
RSO 0.386108196159121 X1 25 0.386108196159121
RSO 0.386108196159121 X1 26 0.386108196159121
RSO 0.38679681069959 X2 1 0.38679681069959
RSO 0.38679681069959 X2 2 0.38679681069959
RSO 0.38679681069959 X2 3 0.38679681069959
RSO 0.38679681069959 X2 4 0.38679681069959
RSO 0.38679681069959 X2 5 0.38679681069959
RSO 0.38679681069959 X2 6 0.38679681069959
RSO 0.38679681069959 X2 7 0.38679681069959
RSO 0.38679681069959 X2 8 0.38679681069959
RSO 0.38679681069959 X2 9 0.38679681069959
RSO 0.38679681069959 X2 10 0.38679681069959
RSO 0.38679681069959 X2 11 0.38679681069959
RSO 0.38665689300412 X2 12 0.38665689300412
RSO 0.38665689300412 X2 13 0.38665689300412
RSO 0.38665689300412 X2 14 0.38665689300412
RSO 0.38665689300412 X2 15 0.38665689300412
RSO 0.38665689300412 X2 16 0.38665689300412
RSO 0.38665689300412 X2 17 0.38665689300412
RSO 0.38665689300412 X2 18 0.38665689300412
RSO 0.38665689300412 X2 19 0.38665689300412
RSO 0.385899691358023 X2 20 0.385899691358023
RSO 0.385899691358023 X2 21 0.385899691358023
RSO 0.385899691358023 X2 22 0.385899691358023
RSO 0.385899691358023 X2 23 0.385899691358023
RSO 0.385899691358023 X2 24 0.385899691358023
RSO 0.385899691358023 X2 25 0.385899691358023
RSO 0.385899691358023 X2 26 0.385899691358023
RSO 0.386121913580242 X3 1 0.386121913580242
RSO 0.386121913580242 X3 2 0.386121913580242
RSO 0.386121913580242 X3 3 0.386121913580242
RSO 0.386121913580242 X3 4 0.386121913580242
RSO 0.386121913580242 X3 5 0.386121913580242
RSO 0.386121913580242 X3 6 0.386121913580242
RSO 0.386121913580242 X3 7 0.386121913580242
RSO 0.386121913580242 X3 8 0.386121913580242
RSO 0.384544410150892 X3 9 0.384544410150892
RSO 0.384544410150892 X3 10 0.384544410150892
RSO 0.384544410150892 X3 11 0.384544410150892
RSO 0.384544410150892 X3 12 0.384544410150892
RSO 0.384544410150892 X3 13 0.384544410150892
RSO 0.384544410150892 X3 14 0.384544410150892
RSO 0.384544410150892 X3 15 0.384544410150892
RSO 0.384544410150892 X3 16 0.384544410150892
RSO 0.384544410150892 X3 17 0.384544410150892
RSO 0.384544410150892 X3 18 0.384544410150892
RSO 0.384544410150892 X3 19 0.384544410150892
RSO 0.384544410150892 X3 20 0.384544410150892
RSO 0.384544410150892 X3 21 0.384544410150892
RSO 0.384544410150892 X3 22 0.384544410150892
RSO 0.384544410150892 X3 23 0.384544410150892
RSO 0.384544410150892 X3 24 0.384544410150892
RSO 0.384544410150892 X3 25 0.384544410150892
RSO 0.384544410150892 X3 26 0.384544410150892
RSO 0.385161694101511 X4 1 0.385161694101511
RSO 0.385161694101511 X4 2 0.385161694101511
RSO 0.385161694101511 X4 3 0.385161694101511
RSO 0.385161694101511 X4 4 0.385161694101511
RSO 0.385161694101511 X4 5 0.385161694101511
RSO 0.385161694101511 X4 6 0.385161694101511
RSO 0.385161694101511 X4 7 0.385161694101511
RSO 0.385161694101511 X4 8 0.385161694101511
RSO 0.385161694101511 X4 9 0.385161694101511
RSO 0.385161694101511 X4 10 0.385161694101511
RSO 0.385161694101511 X4 11 0.385161694101511
RSO 0.385161694101511 X4 12 0.385161694101511
RSO 0.385161694101511 X4 13 0.385161694101511
RSO 0.385161694101511 X4 14 0.385161694101511
RSO 0.385161694101511 X4 15 0.385161694101511
RSO 0.385161694101511 X4 16 0.385161694101511
RSO 0.385161694101511 X4 17 0.385161694101511
RSO 0.385161694101511 X4 18 0.385161694101511
RSO 0.385161694101511 X4 19 0.385161694101511
RSO 0.385161694101511 X4 20 0.385161694101511
RSO 0.385161694101511 X4 21 0.385161694101511
RSO 0.385161694101511 X4 22 0.385161694101511
RSO 0.385161694101511 X4 23 0.385161694101511
RSO 0.385161694101511 X4 24 0.385161694101511
RSO 0.385161694101511 X4 25 0.385161694101511
RSO 0.385161694101511 X4 26 0.385161694101511
RSO 0.385479938271607 X5 1 0.385479938271607
RSO 0.385479938271607 X5 2 0.385479938271607
RSO 0.385479938271607 X5 3 0.385479938271607
RSO 0.385479938271607 X5 4 0.385479938271607
RSO 0.385479938271607 X5 5 0.385479938271607
RSO 0.385479938271607 X5 6 0.385479938271607
RSO 0.385479938271607 X5 7 0.385479938271607
RSO 0.385479938271607 X5 8 0.385479938271607
RSO 0.385479938271607 X5 9 0.385479938271607
RSO 0.385479938271607 X5 10 0.385479938271607
