"NP" "itermax" "pMut" "pCR" "pGBest"
"1" 70.311591125055 1499.48948863914 0.588326388423127 0.473068455899698 0.762005105749741
"2" 90.2862619568774 1500 0.262186583917801 0.05 0.5
"3" 72.2067225681114 1497.08711439494 0.849306375983939 0.296536311042111 0.95
"4" 86.3073134892483 1276.35200246524 0.129971750337638 0.419918863498743 0.3472065056308
"5" 37.8454287395868 956.541159269905 0.232176125426876 0.711725201865197 0.2880512744639
"6" 67.0745166178353 1458.97183677233 0.778520505248213 0.180691122038204 0.903893652184045
"7" 100 978.466943189588 0.377010430186918 0.489242884044257 0.05
"8" 100 1166.58329163001 0.651832386399822 0.258576851305242 0.274041374058112
"9" 53.2141679825711 1484.19594540228 0.422408336632567 0.611158688406343 0.371543100581047
"10" 100 1476.7123873576 0.95 0.0885295248455549 0.480853226525777
"11" 91.8085415011958 1225.27815616312 0.143925162806084 0.95 0.387150859377374
"12" 76.3915352394056 1327.71944025028 0.547449379854264 0.417929363674567 0.350288907142168
"13" 71.1067809123588 779.694073363148 0.681253719712635 0.213677685228118 0.20494941425666
"14" 100 1036.39110379823 0.891004830584032 0.05 0.83889935093883
"15" 95.1269081012236 1315.44953333866 0.949559287435781 0.05 0.673892369657995
"16" 95.3690351469264 1148.2816364225 0.697506926977396 0.583211660400975 0.866972504425372
"17" 37.8245520398106 1491.71445360513 0.95 0.269461078422484 0.710853667210351
"18" 99.4728382476114 1128.6568451736 0.747364116871243 0.675899131449901 0.401677396099011
"19" 100 1452.24707728029 0.95 0.05 0.737833018147394
"20" 88.4600777465445 1162.86226084945 0.387151335807466 0.625625486931869 0.245233132627158
"21" 50.3197433932582 960.760593027504 0.223186480256893 0.511536666387491 0.762005105749741
"22" 68.6207562764603 643.709281317653 0.608135185504583 0.05 0.95
"23" 61.461816890837 1500 0.878478809529281 0.192971570233456 0.694645394664506
"24" 86.3073134892483 1276.35200246524 0.129971750337638 0.419918863498743 0.3472065056308
"25" 37.8454287395868 956.541159269905 0.232176125426876 0.711725201865197 0.2880512744639
"26" 100 1322.54673941789 0.818231101726133 0.191757430404436 0.95
"27" 68.1906275846253 1293.43798922043 0.459620203922389 0.608275361860851 0.147697558153163
"28" 88.0530570669274 1116.83564946664 0.665644216430763 0.95 0.379465354651403
"29" 100 761.171308716236 0.211480773289387 0.05 0.812032839979578
"30" 92.128477507455 1294.11370287157 0.378056189392829 0.673677902758884 0.324781846017372
"31" 74.6151717842123 987.095633985161 0.515612957546332 0.05 0.349899195864207
"32" 75.447171972956 1132.1215044983 0.536579218824698 0.585846832094991 0.591573142679894
"33" 71.1067809123588 779.694073363148 0.681253719712635 0.213677685228118 0.20494941425666
"34" 78.4492294721909 1119.88034665392 0.789562651341587 0.134409078015696 0.571210715138845
"35" 100 1120.27092392778 0.578449132561243 0.296916910122777 0.385705906828988
"36" 89.1860304601526 916.255995704567 0.617117419648139 0.603952979500941 0.737313271565441
"37" 100 950.749768394691 0.63876259585127 0.47453156448824 0.391656793490327
"38" 71.7045125709455 1297.56838542744 0.73510049421357 0.347036748100563 0.329090675099259
"39" 88.921878457423 1484.65257807658 0.567571243974481 0.4913034640555 0.375209956384419
"40" 96.8905168388305 1334.06677689639 0.820182662200894 0.0819227336432221 0.50544449035931
"41" 26.6385805457756 1285.06915768794 0.394524804700157 0.259065456128942 0.721979107128771
"42" 56.6734789351808 760.68521937303 0.776709868278511 0.05 0.95
"43" 71.7770887356653 1404.72871824214 0.433185405621139 0.368704676964441 0.303424175297816
"44" 96.480211272194 1139.10420626834 0.759499998027119 0.239115131512329 0.449005174920349
"45" 37.8454287395868 956.541159269905 0.232176125426876 0.711725201865197 0.2880512744639
"46" 67.0745166178353 1458.97183677233 0.778520505248213 0.180691122038204 0.903893652184045
"47" 100 1491.7589830277 0.762840196321669 0.264725706613446 0.715994623220388
"48" 87.225307522132 1158.92516960301 0.516379259800121 0.522539541448226 0.178277196419863
"49" 62.4559571901897 1500 0.768500341267257 0.575921310410939 0.673780461691353
"50" 100 1429.58136717846 0.482632005307998 0.266437577402913 0.508607263020925
"51" 100 1213.07688437721 0.95 0.05 0.95
"52" 100 1496.59542338189 0.4436197461252 0.920430492571393 0.05
"53" 71.1067809123588 779.694073363148 0.681253719712635 0.213677685228118 0.20494941425666
"54" 78.4492294721909 1119.88034665392 0.789562651341587 0.134409078015696 0.571210715138845
"55" 57.3501564408387 1500 0.932963816322516 0.241407731302194 0.361168578718893
"56" 61.9981592573787 1483.72992927428 0.641943838560201 0.514040276460263 0.435169229879276
"57" 100 1294.72333369292 0.883508421521923 0.343535763789467 0.942624033786653
"58" 71.7045125709455 1297.56838542744 0.73510049421357 0.347036748100563 0.329090675099259
"59" 100 759.237239074218 0.904161065121382 0.157990566588833 0.95
"60" 94.3899124925532 1450.58356487316 0.508336572084565 0.187832047929203 0.24743432220858
