"NP" "itermax" "pMut" "pCR" "pGBest"
"1" 98.5835389284032 1277.32544744884 0.293271415650639 0.95 0.897654192092416
"2" 100 1500 0.241784968733341 0.671488803728356 0.948802059867668
"3" 100 1500 0.198258570411847 0.95 0.547461828845727
"4" 89.4357685838192 1477.19723913804 0.646973294637175 0.05 0.95
"5" 100 1500 0.68776620970712 0.05 0.95
"6" 100 1487.33645117665 0.591330424530823 0.05 0.894688232150495
"7" 100 1500 0.194770169523594 0.625050426917319 0.736810635174503
"8" 100 1239.10765322502 0.178564762506657 0.901939707550295 0.798905845889678
"9" 100 1493.87862014706 0.227040372045569 0.95 0.84706001565485
"10" 100 1486.41906872755 0.611149354175566 0.05 0.774355659509495
"11" 100 1096.85687282051 0.281030689535521 0.408541666707624 0.95
"12" 95.0180442725904 1468.42937166729 0.486799514543219 0.05 0.77548401749989
"13" 98.1794604708283 1483.95182117726 0.503490939449247 0.200449385591595 0.79609300884506
"14" 90.7951963747294 1496.42279624043 0.505927380505785 0.0572852819283348 0.892182834973676
"15" 92.252092910414 1500 0.172063039369298 0.818354652526747 0.95
"16" 92.868101499155 1495.04184225574 0.214913573014952 0.723420009483484 0.519829710881716
"17" 97.3653704840074 1474.52084333218 0.696652460034088 0.05 0.95
"18" 100 1489.01254913253 0.565525694000793 0.173388683283807 0.95
"19" 97.7007765932815 1443.73691384032 0.489436391002436 0.0507574774444229 0.95
"20" 100 1496.46943085413 0.187397006158473 0.95 0.671540643002909
"21" 100 1467.81273859097 0.173006748385257 0.95 0.95
"22" 100 1453.6426040541 0.484700418620508 0.206907944618179 0.89018399359554
"23" 100 1496.84052708431 0.135713287282979 0.95 0.95
"24" 66.694321447672 1500 0.242238097582151 0.686589858248249 0.835653916907696
"25" 88.714492911165 1476.79096575855 0.247936062295473 0.841769710881364 0.643617536373278
"26" 80.1512191106277 1500 0.409477907933929 0.369884829059496 0.792125465862037
"27" 100 1492.64453888052 0.47910172582809 0.05 0.95
"28" 100 1320.07026026137 0.207426150004787 0.827661098994212 0.879038995139178
"29" 100 1493.33045329717 0.232325325040122 0.95 0.95
"30" 100 1472.79329301073 0.250563433218181 0.95 0.910265839923041
"31" 100 1176.85704215028 0.230317669153428 0.810071267913685 0.95
"32" 100 1478.4311124109 0.727282538183082 0.05 0.935121149438875
"33" 100 1494.06702711972 0.203492451744798 0.95 0.820835452355845
"34" 100 1500 0.260637499414512 0.95 0.791204337225458
"35" 100 1469.72632242688 0.249320642638253 0.95 0.747813105844321
"36" 100 1500 0.420719316047609 0.427192823398372 0.626933218497932
"37" 100 1374.39572104356 0.398682933932998 0.596820648756879 0.89243766005665
"38" 100 1493.0716932457 0.258052191014924 0.86832406323176 0.791221986405215
"39" 98.5784776287415 1414.34185801159 0.511675094331635 0.05 0.95
"40" 100 1499.67084205012 0.378529130742823 0.17242014582681 0.512387680602826
"41" 96.0380238600931 1367.68357493401 0.315281647989546 0.555745398522136 0.579930041778219
"42" 100 1498.15655952537 0.214898187897083 0.863188439967428 0.822921577809505
"43" 100 1500 0.113001662741835 0.931156635135094 0.344030466151553
"44" 98.186170984726 1328.97944080128 0.254693352421242 0.53451150688039 0.791103441856678
"45" 100 1462.49581020527 0.301972816958239 0.95 0.95
"46" 100 1411.42799407056 0.381403113649577 0.505720381122925 0.754125835156476
"47" 100 1184.32966656361 0.256240951553079 0.95 0.95
"48" 100 1477.88898974157 0.258505894974611 0.884104207979525 0.812007528511066
"49" 98.4188668806897 1474.07798187842 0.642483332655328 0.05 0.95
"50" 100 1399.30181018507 0.691161842424042 0.05 0.95
"51" 95.9682584738238 1474.82188897498 0.158606945135298 0.693550146887723 0.855152533344679
"52" 100 1500 0.255440007361732 0.633967495737477 0.607194482066521
"53" 100 1486.6012569183 0.391059110794708 0.411429886915054 0.727109581770983
"54" 100 1394.89066838894 0.161659806744326 0.95 0.726166458982071
"55" 100 1500 0.412765624114055 0.206056615701373 0.675445249136585
"56" 100 1413.00088090802 0.348123099929688 0.795067073852973 0.95
"57" 100 1419.22225239395 0.193797635390336 0.760047778323592 0.874873124672164
"58" 84.4383469283214 1494.84862903559 0.207152848651504 0.95 0.664514029315034
"59" 100 1494.98916769005 0.149521220390665 0.827489088916007 0.698040067513123
"60" 100 1500 0.214473510929536 0.95 0.917384915134504
