"","n","k","NP","itermax","pMut","pCR","pGBest","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"12",25,3,10,500,0.5,0.05,0.95,0.555793777777779,0.566955377777775,0.57545457777778,0.551049244444442,0.573747911111117,0.55002524444444,0.561937777777771,0.563576177777775,0.556681244444447,0.557022577777781
"13",25,3,10,500,0.5,0.5,0.05,0.580676977777778,0.579209244444441,0.583748977777784,0.59429617777778,0.582554311111108,0.588152177777773,0.599279644444443,0.580984177777778,0.612830577777772,0.59456924444444
"14",25,3,10,500,0.5,0.5,0.5,0.558592711111104,0.550707911111115,0.56613617777778,0.554599111111109,0.555896177777779,0.558285511111103,0.552073244444444,0.563849244444442,0.557124977777768,0.565624177777786
"15",25,3,10,500,0.5,0.5,0.95,0.561186844444443,0.554223644444442,0.559343644444446,0.544734577777782,0.559958044444447,0.572792177777774,0.559923911111107,0.562313244444446,0.540092444444445,0.559889777777774
"16",25,3,10,500,0.5,0.95,0.05,0.579004444444441,0.588220444444447,0.596548977777785,0.58647964444445,0.59904071111111,0.599586844444451,0.576649244444449,0.567057777777769,0.602863644444437,0.573201777777782
"17",25,3,10,500,0.5,0.95,0.5,0.55661297777778,0.573031111111108,0.559514311111113,0.558490311111111,0.56432711111111,0.562518044444453,0.568388977777785,0.563200711111114,0.581291377777779,0.575693511111114
"18",25,3,10,500,0.5,0.95,0.95,0.564770844444444,0.560094577777781,0.555452444444444,0.556647111111107,0.562244977777772,0.546441244444452,0.575830044444441,0.55804657777777,0.571153777777778,0.552551111111105
"19",25,3,10,500,0.95,0.05,0.05,0.623719111111108,0.627473777777783,0.61672177777778,0.605423644444443,0.632935111111121,0.597880177777788,0.629624177777788,0.61521991111111,0.626825244444448,0.635426844444446
"20",25,3,10,500,0.95,0.05,0.5,0.617199644444455,0.571358577777771,0.565009777777778,0.596992711111105,0.593647644444438,0.583066311111109,0.58508017777778,0.569003377777766,0.585523911111108,0.592350577777775
"21",25,3,10,500,0.95,0.05,0.95,0.552414577777785,0.55818311111111,0.563234844444441,0.55930951111112,0.546407111111112,0.561562311111118,0.56313244444444,0.567262577777783,0.559275377777772,0.552824177777779
"22",25,3,10,500,0.95,0.5,0.05,0.653722311111111,0.662187377777783,0.65160604444444,0.659286044444436,0.645530311111114,0.656828444444452,0.675431111111104,0.647612444444452,0.641400177777779,0.656623644444444
"23",25,3,10,500,0.95,0.5,0.5,0.585865244444449,0.600337777777772,0.601600711111115,0.585558044444448,0.587742577777772,0.597436444444446,0.581154844444438,0.596685511111104,0.573406577777769,0.59299911111111
"24",25,3,10,500,0.95,0.5,0.95,0.577468444444444,0.589312711111102,0.588288711111107,0.588595911111107,0.571256177777778,0.567501511111103,0.561084444444436,0.579891911111116,0.577570844444444,0.567638044444443
"25",25,3,10,500,0.95,0.95,0.05,0.690108444444448,0.704444444444438,0.696388977777789,0.636177777777774,0.658023111111114,0.670038044444446,0.71011057777777,0.686831644444441,0.711987911111114,0.691849244444438
"26",25,3,10,500,0.95,0.95,0.5,0.623446044444441,0.608700444444436,0.631808711111112,0.610236444444447,0.618599111111118,0.615800177777785,0.617575111111116,0.630204444444442,0.642219377777774,0.628873244444432
"27",25,3,10,500,0.95,0.95,0.95,0.605389511111116,0.611465244444442,0.598255644444448,0.610031644444439,0.617472711111108,0.613137777777779,0.61180657777777,0.613444977777766,0.609929244444446,0.611977244444444
