"","R.test","R.test","R.test","rmse.test","rmse.test","rmse.test","R.fit","R.fit","R.fit","rmse.fit","rmse.fit","rmse.fit"
"soa_32",0.723,0.669,0.686,2.355,2.621,2.576,0.917,1,1,0.938,0,0.054
"ccd3_43",0.867,0.885,0.858,1.773,1.702,1.921,0.948,1,1,1.393,0,0.049
"oacd3_50",0.869,0.926,0.92,1.846,1.43,1.486,0.954,1,1,1.338,0.006,0.088
"full_243",0.897,1,0.998,1.483,0,0.235,0.897,1,0.998,1.483,0,0.235
"lhd_50",0.575,0.66,0.517,3.362,3.8,3.65,0.862,1,0.985,0.332,0,0.124
"lhd2_50",0.586,0.428,0.601,3.25,3.553,3.334,0.88,1,0.992,0.345,0,0.101
"maximin_50",0.623,0.667,0.676,3.082,3.564,3.302,0.902,1,0.991,0.324,0,0.111
"maxpro_50",0.674,0.603,0.607,2.599,2.971,2.99,0.799,1,0.998,0.802,0,0.085
"ud_50",0.655,0.625,0.677,3.011,3.342,3.011,0.793,1,0.996,0.518,0,0.096
"lhd_100",0.689,0.657,0.748,2.836,3.136,2.96,0.826,1,0.949,0.619,0,0.413
"lhd2_100",0.743,0.796,0.83,2.801,2.919,2.617,0.829,1,0.98,0.519,0,0.218
"lhd_243",0.727,0.74,0.76,2.684,2.442,2.373,0.814,1,0.976,0.667,0,0.275
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.577,0.424,0.533,1.291,1.465,1.452,0.917,1,1,0.938,0,0.054
"ccd3_43",0.583,0.016,0.585,1.85,3.96,1.719,0.948,1,1,1.393,0,0.049
"oacd3_50",0.629,0.585,0.598,2.058,2.319,2.146,0.954,1,1,1.338,0.006,0.088
"full_243",0.682,0.762,0.787,1.414,1.315,1.068,0.897,1,0.998,1.483,0,0.235
"lhd_50",0.676,0.677,0.661,0.884,0.908,0.905,0.862,1,0.985,0.332,0,0.124
"lhd2_50",0.605,0.501,0.659,0.933,1.005,0.908,0.88,1,0.992,0.345,0,0.101
"maximin_50",0.711,0.703,0.739,0.824,0.85,0.82,0.902,1,0.991,0.324,0,0.111
"maxpro_50",0.741,0.822,0.675,0.816,0.745,0.911,0.799,1,0.998,0.802,0,0.085
"ud_50",0.742,0.839,0.817,0.78,0.649,0.697,0.793,1,0.996,0.518,0,0.096
"lhd_100",0.772,0.819,0.866,0.732,0.659,0.618,0.826,1,0.949,0.619,0,0.413
"lhd2_100",0.633,0.758,0.754,0.891,0.771,0.777,0.829,1,0.98,0.519,0,0.218
"lhd_243",0.814,1,0.976,0.667,0,0.275,0.814,1,0.976,0.667,0,0.275
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.723,0.64,0.683,1.899,2.124,2.091,0.917,1,1,0.938,0,0.054
"ccd3_43",0.813,0.617,0.809,1.812,3.035,1.823,0.948,1,1,1.393,0,0.049
"oacd3_50",0.81,0.83,0.839,1.955,1.928,1.846,0.954,1,1,1.338,0.006,0.088
"full_243",0.855,0.947,0.961,1.449,0.93,0.773,0.897,1,0.998,1.483,0,0.235
"lhd_50",0.61,0.498,0.522,2.458,2.762,2.659,0.862,1,0.985,0.332,0,0.124
"lhd2_50",0.628,0.488,0.642,2.391,2.611,2.443,0.88,1,0.992,0.345,0,0.101
"maximin_50",0.669,0.601,0.684,2.256,2.591,2.406,0.902,1,0.991,0.324,0,0.111
"maxpro_50",0.715,0.635,0.625,1.926,2.166,2.21,0.799,1,0.998,0.802,0,0.085
"ud_50",0.697,0.638,0.723,2.199,2.408,2.185,0.793,1,0.996,0.518,0,0.096
"lhd_100",0.716,0.667,0.76,2.071,2.266,2.138,0.826,1,0.949,0.619,0,0.413
"lhd2_100",0.754,0.792,0.83,2.078,2.135,1.93,0.829,1,0.98,0.519,0,0.218
"lhd_243",0.759,0.79,0.806,1.956,1.727,1.689,0.814,1,0.976,0.667,0,0.275
"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"soa_32",0.737,0.664,0.686,1.881,2.109,2.116,0.917,1,1,0.938,0,0.054
"ccd3_43",0.822,0.668,0.814,1.8,3.007,1.808,0.948,1,1,1.393,0,0.049
"oacd3_50",0.832,0.858,0.86,1.892,1.841,1.788,0.954,1,1,1.338,0.006,0.088
"full_243",0.865,0.948,0.957,1.412,0.935,0.819,0.897,1,0.998,1.483,0,0.235
"lhd_50",0.628,0.599,0.576,2.554,2.862,2.758,0.862,1,0.985,0.332,0,0.124
"lhd2_50",0.599,0.449,0.608,2.521,2.744,2.564,0.88,1,0.992,0.345,0,0.101
"maximin_50",0.674,0.658,0.707,2.34,2.687,2.484,0.902,1,0.991,0.324,0,0.111
"maxpro_50",0.705,0.582,0.642,1.998,2.452,2.255,0.799,1,0.998,0.802,0,0.085
"ud_50",0.692,0.654,0.698,2.298,2.531,2.31,0.793,1,0.996,0.518,0,0.096
"lhd_100",0.725,0.68,0.777,2.137,2.354,2.213,0.826,1,0.949,0.619,0,0.413
"lhd2_100",0.755,0.814,0.84,2.163,2.171,1.98,0.829,1,0.98,0.519,0,0.218
"lhd_243",0.756,0.789,0.807,2.034,1.792,1.753,0.814,1,0.976,0.667,0,0.275
