"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",25,3,10,500,0.05,0.05,0.05,0.67829831111111,0.683827911111115,0.685978311111106,0.70191857777778,0.702601244444448,0.751821511111112,0.748339911111104,0.755268977777786,0.690483911111109,0.681540977777777
"2",25,3,10,500,0.05,0.05,0.35,0.632696177777781,0.644233244444438,0.650445511111111,0.667034311111106,0.670686577777774,0.640922311111111,0.670140444444439,0.630272711111109,0.649523911111109,0.666146844444444
"3",25,3,10,500,0.05,0.05,0.65,0.682394311111105,0.68300871111112,0.633754311111109,0.647544177777779,0.647236977777778,0.630102044444442,0.618838044444452,0.648022044444439,0.674611911111116,0.645598577777781
"4",25,3,10,500,0.05,0.05,0.95,0.688265244444444,0.673110044444432,0.681063111111116,0.649011911111108,0.639659377777768,0.650513777777778,0.625562311111112,0.636211911111115,0.646042311111116,0.651128177777779
"5",25,3,10,500,0.05,0.35,0.05,0.620237511111114,0.60569671111111,0.652425244444442,0.658091377777774,0.633037511111115,0.66758044444444,0.669355377777778,0.619930311111114,0.634778311111105,0.602215111111116
"6",25,3,10,500,0.05,0.35,0.35,0.622831644444446,0.646929777777777,0.61856497777777,0.629555911111107,0.630682311111117,0.619725511111113,0.618428444444451,0.630716444444443,0.639215644444448,0.59433031111112
"7",25,3,10,500,0.05,0.35,0.65,0.615015111111117,0.620817777777775,0.612420977777778,0.636587377777782,0.624947911111111,0.601634844444442,0.639318044444441,0.640888177777771,0.60429724444444,0.631706311111112
"8",25,3,10,500,0.05,0.35,0.95,0.635768177777774,0.628668444444445,0.644062577777785,0.625903644444446,0.608871111111103,0.604877511111108,0.609519644444459,0.615834311111112,0.642355911111107,0.605048177777776
"9",25,3,10,500,0.05,0.65,0.05,0.581939911111107,0.620203377777767,0.610919111111108,0.636655644444449,0.623821511111115,0.619076977777778,0.605969777777777,0.643277511111109,0.600064711111112,0.626108444444447
"10",25,3,10,500,0.05,0.65,0.35,0.630375111111116,0.622729244444446,0.611635911111109,0.607437511111107,0.622080711111112,0.600201244444452,0.602283377777769,0.623958044444449,0.613683911111107,0.603716977777786
"11",25,3,10,500,0.05,0.65,0.65,0.592964977777777,0.612762311111119,0.590439111111105,0.632969244444448,0.626586311111121,0.617199644444455,0.602180977777776,0.593306311111111,0.601293511111115,0.597470577777766
"12",25,3,10,500,0.05,0.65,0.95,0.624811377777777,0.594910577777774,0.614946844444443,0.607027911111113,0.626654577777774,0.605287111111109,0.632047644444439,0.593238044444451,0.606550044444445,0.615015111111117
"13",25,3,10,500,0.05,0.95,0.05,0.606515911111105,0.627064177777775,0.587230577777771,0.635290311111113,0.61521991111111,0.593511111111104,0.597334044444446,0.592896711111103,0.59904071111111,0.605457777777769
"14",25,3,10,500,0.05,0.95,0.35,0.62580124444446,0.603614577777779,0.587162311111118,0.622183111111112,0.592555377777776,0.619247644444439,0.585523911111108,0.623172977777781,0.598084977777767,0.613615644444447
"15",25,3,10,500,0.05,0.95,0.65,0.610884977777775,0.607232711111107,0.596310044444444,0.583134577777783,0.606481777777786,0.607539911111114,0.597231644444439,0.595047111111108,0.582349511111122,0.600849777777773
"16",25,3,10,500,0.05,0.95,0.95,0.616790044444433,0.602692977777777,0.610611911111107,0.610202311111113,0.590848711111112,0.588698311111101,0.605969777777777,0.596685511111104,0.605594311111103,0.584056177777778
"17",25,3,10,500,0.35,0.05,0.05,0.608939377777777,0.663859911111113,0.624196977777776,0.63696284444445,0.640342044444443,0.621875911111104,0.642458311111108,0.642697244444441,0.63266204444444,0.627200711111116
"18",25,3,10,500,0.35,0.05,0.35,0.599791644444445,0.580438044444444,0.568866844444446,0.569447111111114,0.580608711111111,0.589415111111116,0.559650844444447,0.585387377777788,0.579584711111115,0.568286577777771
"19",25,3,10,500,0.35,0.05,0.65,0.552482844444452,0.581291377777779,0.565078044444445,0.57712711111111,0.567774577777777,0.588800711111115,0.595559111111109,0.559104711111112,0.564019911111102,0.564873244444437
"20",25,3,10,500,0.35,0.05,0.95,0.572723911111107,0.575864177777774,0.565521777777772,0.563030044444433,0.562040177777778,0.568354844444445,0.573713777777769,0.559377777777773,0.556920177777774,0.556681244444447
"21",25,3,10,500,0.35,0.35,0.05,0.564839111111111,0.569310577777773,0.560401777777782,0.579823644444442,0.57067591111111,0.601634844444442,0.569139911111106,0.59282844444445,0.572655644444454,0.576615111111116
"22",25,3,10,500,0.35,0.35,0.35,0.558012444444443,0.566682311111108,0.568969244444446,0.56910577777778,0.550503111111107,0.570163911111102,0.563030044444433,0.563405511111108,0.559138844444439,0.58508017777778
"23",25,3,10,500,0.35,0.35,0.65,0.560231111111108,0.561869511111118,0.553779911111107,0.551766044444443,0.574737777777772,0.557500444444442,0.565146311111119,0.570334577777776,0.562415644444453,0.561903644444438
"24",25,3,10,500,0.35,0.35,0.95,0.573611377777776,0.555042844444458,0.557193244444441,0.563917511111116,0.561801244444451,0.55835377777777,0.556476444444447,0.55470151111111,0.567638044444443,0.564463644444436
"25",25,3,10,500,0.35,0.65,0.05,0.574840177777779,0.559855644444447,0.580062577777776,0.571256177777778,0.605833244444444,0.57367964444445,0.562552177777773,0.56910577777778,0.576546844444449,0.58173511111112
"26",25,3,10,500,0.35,0.65,0.35,0.560299377777774,0.553472711111107,0.562518044444453,0.558592711111104,0.572655644444454,0.563815111111116,0.56907164444444,0.564088177777776,0.563098311111107,0.563405511111108
"27",25,3,10,500,0.35,0.65,0.65,0.562108444444452,0.575488711111113,0.565248711111112,0.559958044444447,0.556954311111107,0.570334577777776,0.568388977777785,0.571529244444445,0.56275697777778,0.559958044444447
"28",25,3,10,500,0.35,0.65,0.95,0.558831644444445,0.549991111111106,0.56282524444444,0.550298311111107,0.550537244444434,0.55797831111111,0.563610311111115,0.551185777777782,0.55360924444444,0.577775644444452
"29",25,3,10,500,0.35,0.95,0.05,0.574396444444444,0.56753564444445,0.587537777777772,0.571768177777772,0.590200177777778,0.567296711111109,0.576717511111116,0.584260977777772,0.579448177777775,0.57067591111111
"30",25,3,10,500,0.35,0.95,0.35,0.562279111111112,0.556681244444447,0.556203377777766,0.575795911111114,0.575181511111106,0.565760711111113,0.561698844444437,0.558831644444445,0.56582897777778,0.570061511111108
"31",25,3,10,500,0.35,0.95,0.65,0.558387911111111,0.560231111111108,0.558422044444444,0.561937777777771,0.549479111111112,0.547158044444447,0.563303111111114,0.569003377777766,0.55360924444444,0.567945244444444
"32",25,3,10,500,0.35,0.95,0.95,0.554633244444443,0.562006044444438,0.562893511111114,0.558080711111117,0.554974577777777,0.569686044444441,0.566989511111116,0.570232177777775,0.555930311111119,0.55500871111111
"33",25,3,10,500,0.65,0.05,0.05,0.616892444444447,0.618701511111111,0.608461511111109,0.643926044444444,0.641024711111111,0.644096711111097,0.628258844444445,0.656623644444444,0.64023964444445,0.636655644444449
"34",25,3,10,500,0.65,0.05,0.35,0.564702577777777,0.592760177777783,0.607915377777775,0.572348444444447,0.598596977777775,0.57702471111111,0.596617244444438,0.569754311111108,0.582178844444441,0.60231751111111
"35",25,3,10,500,0.65,0.05,0.65,0.565180444444438,0.558660977777778,0.552346311111111,0.566716444444441,0.566579911111101,0.55016177777778,0.555896177777779,0.567638044444443,0.548796444444444,0.565009777777778
"36",25,3,10,500,0.65,0.05,0.95,0.54551964444445,0.56589724444444,0.580608711111111,0.56432711111111,0.56285937777778,0.565453511111119,0.543096177777785,0.560060444444441,0.548659911111103,0.561767111111111
"37",25,3,10,500,0.65,0.35,0.05,0.611738311111103,0.634880711111119,0.602897777777778,0.645632711111108,0.580950044444438,0.600064711111112,0.635768177777774,0.627507911111116,0.629555911111107,0.620510577777775
"38",25,3,10,500,0.65,0.35,0.35,0.560162844444455,0.571324444444445,0.576546844444449,0.573304177777782,0.566238577777781,0.555315911111111,0.569720177777774,0.566579911111101,0.573167644444442,0.559821511111114
"39",25,3,10,500,0.65,0.35,0.65,0.560606577777775,0.572314311111106,0.563542044444441,0.565214577777785,0.570266311111109,0.551254044444442,0.560674844444449,0.559889777777774,0.554326044444435,0.577809777777771
"40",25,3,10,500,0.65,0.35,0.95,0.554223644444442,0.573406577777769,0.556237511111106,0.568798577777779,0.553370311111107,0.56105031111111,0.557534577777789,0.55330204444444,0.562142577777779,0.556237511111106
"41",25,3,10,500,0.65,0.65,0.05,0.599655111111118,0.63552924444444,0.640103111111109,0.599586844444451,0.590473244444445,0.620374044444448,0.60392177777778,0.639659377777768,0.601020444444433,0.632935111111121
"42",25,3,10,500,0.65,0.65,0.35,0.569856711111101,0.581359644444446,0.568525511111105,0.568286577777771,0.568764444444439,0.586172444444449,0.564600177777777,0.585796977777775,0.574294044444444,0.571460977777785
"43",25,3,10,500,0.65,0.65,0.65,0.554155377777775,0.567945244444444,0.564975644444451,0.560333511111115,0.569959111111115,0.560060444444441,0.559377777777773,0.553643377777767,0.561391644444437,0.568320711111112
"44",25,3,10,500,0.65,0.65,0.95,0.566784711111108,0.548318577777776,0.549820444444439,0.571768177777772,0.556510577777773,0.558831644444445,0.565009777777778,0.552482844444452,0.573816177777776,0.564531911111117
"45",25,3,10,500,0.65,0.95,0.05,0.608290844444442,0.632696177777781,0.619452444444446,0.622148977777778,0.604979911111102,0.639488711111108,0.598426311111115,0.617165511111108,0.623923911111109,0.618906311111118
