"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",50,5,100,500,0.05,0.05,0.05,0.325736191111106,0.321910911111105,0.321178751111102,0.32695603111111,0.322914431111106,0.330824831111104,0.330847871111109,0.3118315511111,0.325269631111104,0.337093631111111
"2",50,5,10,1500,0.05,0.05,0.05,0.278743551111106,0.265854591111114,0.300980351111098,0.256656511111106,0.280332671111112,0.253239551111104,0.280914431111098,0.308589311111114,0.250111231111114,0.277158271111105
"3",50,5,10,500,0.95,0.05,0.05,0.2729675511111,0.282931711111101,0.280578431111102,0.288125951111107,0.267040511111115,0.267217151111117,0.286354431111101,0.273299711111098,0.285651071111094,0.2855921911111
"4",50,5,100,1500,0.95,0.05,0.05,0.238042751111112,0.237373951111113,0.238160511111113,0.23692659111111,0.235526911111103,0.235302271111106,0.237385471111108,0.235138431111094,0.237453951111105,0.234264831111101
"5",50,5,10,500,0.05,0.95,0.05,0.249063551111102,0.249002751111109,0.246069631111095,0.240143871111105,0.249328511111112,0.240823551111102,0.239329791111118,0.23927795111111,0.237771391111107,0.238385791111115
"6",50,5,100,1500,0.05,0.95,0.05,0.173549951111109,0.173771391111105,0.174141311111105,0.171604351111097,0.17346803111111,0.173953791111112,0.172793471111106,0.175280511111112,0.174097791111119,0.172896511111111
"7",50,5,100,500,0.95,0.95,0.05,0.323253631111103,0.330458111111105,0.319101951111109,0.328589951111111,0.3385969911111,0.306509951111103,0.3047742711111,0.324744831111105,0.3235461111111,0.314410751111105
"8",50,5,10,1500,0.95,0.95,0.05,0.292237951111107,0.304037631111101,0.294831231111112,0.287716351111099,0.283252991111101,0.278515711111101,0.295682431111097,0.307105791111109,0.298212351111098,0.297630591111112
"9",50,5,10,500,0.05,0.05,0.95,0.2821643511111,0.291478911111101,0.28474931111111,0.279960191111109,0.281301631111099,0.28044083111111,0.294801151111107,0.276205951111115,0.27548659111111,0.268872191111102
"10",50,5,100,1500,0.05,0.05,0.95,0.186494591111107,0.185021951111107,0.183409151111112,0.1790117111111,0.183098111111106,0.182349311111107,0.181960191111108,0.185729151111119,0.183096191111107,0.180399231111107
"11",50,5,100,500,0.95,0.05,0.95,0.199864191111107,0.195329151111111,0.19356851111111,0.198589311111108,0.1964587511111,0.1924369911111,0.1970789111111,0.194694911111105,0.194152191111109,0.196980991111102
"12",50,5,10,1500,0.95,0.05,0.95,0.190349951111106,0.195142271111101,0.185908991111101,0.188255871111112,0.187992191111111,0.195026431111092,0.18729779111111,0.188773631111104,0.188495231111113,0.192444031111114
"13",50,5,100,500,0.05,0.95,0.95,0.182450431111099,0.180879871111109,0.181313151111112,0.179126911111098,0.181120511111112,0.184065791111118,0.186861951111103,0.180474751111104,0.182830591111106,0.184151551111109
"14",50,5,10,1500,0.05,0.95,0.95,0.200660991111101,0.202908031111108,0.202999551111104,0.199786111111107,0.205820031111109,0.204198911111099,0.2007429111111,0.199142911111096,0.199606271111104,0.199795711111096
"15",50,5,10,500,0.95,0.95,0.95,0.270789631111101,0.262977151111107,0.267000191111103,0.25468787111111,0.26587123111111,0.278529791111114,0.266821631111101,0.267761151111108,0.265097471111107,0.273478911111104
