"","R.test","R.test","R.test","rmse.test","rmse.test","rmse.test","R.fit","R.fit","R.fit","rmse.fit","rmse.fit","rmse.fit"
"oacd1_34",0.846,0.827,0.847,1.625,2.222,1.855,0.995,1,1,0.495,0.026,0.034
"oacd2_50",0.835,0.823,0.853,1.637,2.223,1.813,0.996,1,1,0.458,0.15,0.151
"oacd3_50",0.858,0.877,0.898,1.557,1.915,1.577,0.977,1,1,1.024,0.018,0.025
"full_243",0.894,0.894,0.906,1.279,1.735,1.415,0.954,1,0.999,1.201,0,0.22
"wplhd_49",0.948,0.956,0.958,0.758,0.699,0.683,0.967,1,0.999,0.614,0,0.089
"lhd_50",0.92,0.926,0.936,1.079,0.947,0.903,0.967,1,0.999,0.64,0,0.118
"lhd2_50",0.914,0.928,0.944,1.063,0.894,0.796,0.963,1,1,0.65,0,0.06
"lhd_100",0.949,0.971,0.97,0.771,0.584,0.599,0.968,1,0.996,0.573,0,0.212
"lhd2_100",0.939,0.97,0.971,0.823,0.581,0.573,0.965,1,0.999,0.627,0,0.102
"lhd_243",0.949,0.979,0.98,0.754,0.505,0.49,0.936,1,0.995,0.805,0,0.234
