"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",50,5,100,1500,0.95,0.95,0.95,0.224087551111099,0.217953791111107,0.2206923511111,0.222283391111106,0.2128363511111,0.2240664311111,0.225491711111095,0.221363711111096,0.220883071111101,0.222700031111106
"2",50,5,49,1500,0.692857142857143,0.178571428571429,0.178571428571429,0.208068991111102,0.202150911111101,0.206320511111115,0.19651891111111,0.2042629111111,0.204700671111106,0.212648191111109,0.222928511111109,0.187936511111104,0.196556671111105
"3",50,5,87,1071,0.821428571428571,0.05,0.564285714285714,0.174808831111102,0.177395071111093,0.178904831111104,0.175898751111105,0.176992511111113,0.177772031111099,0.179658751111096,0.178967551111103,0.175315711111096,0.179206911111104
"4",50,5,36,1071,0.564285714285714,0.821428571428571,0.307142857142857,0.200309631111097,0.202321151111115,0.204811391111108,0.205558911111098,0.206369791111112,0.202838911111107,0.199512831111096,0.201382271111099,0.201678591111115,0.202375551111099
"5",50,5,100,1214,0.692857142857143,0.435714285714286,0.435714285714286,0.183273471111099,0.178785791111115,0.185338751111104,0.179754111111104,0.183317631111103,0.180427391111106,0.1833496311111,0.180053631111107,0.180524671111112,0.18512883111111
"6",50,5,49,1214,0.95,0.692857142857143,0.692857142857143,0.222924031111106,0.218778751111107,0.226330751111108,0.218006911111096,0.2236843511111,0.219806591111107,0.222723711111095,0.216742271111105,0.2168510711111,0.222502911111096
"7",50,5,87,1357,0.564285714285714,0.564285714285714,0.05,0.252713471111103,0.2404229111111,0.261353471111107,0.254038911111101,0.200653311111104,0.197873791111108,0.202598271111097,0.217895551111097,0.21393651111111,0.219560831111104
"8",50,5,36,1357,0.821428571428571,0.307142857142857,0.821428571428571,0.183090431111102,0.182855551111104,0.183980031111107,0.184423551111104,0.1842961911111,0.182471551111105,0.185972991111102,0.18625587111111,0.183320191111107,0.182438911111103
"9",50,5,61,786,0.821428571428571,0.564285714285714,0.307142857142857,0.214138111111102,0.217753471111103,0.220871551111099,0.222084351111096,0.227292671111108,0.2169797111111,0.226931071111103,0.223416831111108,0.216012671111106,0.219054591111108
"10",50,5,10,786,0.564285714285714,0.307142857142857,0.564285714285714,0.208477951111112,0.2016043511111,0.206225151111107,0.20425523111111,0.205204351111099,0.203833471111102,0.203168511111108,0.203476351111107,0.200851071111098,0.21031923111111
