"","n","k","NP","itermax","pMut","pCR","pGBest","1","2","3","4","5","6","7","8","9","10"
"1",70,7,10,500,0.05,0.05,0.05,0.227659702330192,0.233228187116866,0.273835247100361,0.239750809493587,0.250399093796896,0.222630731974868,0.252857026574335,0.280577392521634,0.253176961295412,0.238950519365042
"2",70,7,100,500,0.05,0.05,0.05,0.256796371575142,0.240193765518145,0.252790840999731,0.245795116429189,0.247875088776307,0.248161930710082,0.237353112388924,0.257490356791058,0.241249108104989,0.253581837948283
"3",70,7,10,1500,0.05,0.05,0.05,0.213332282065947,0.225489518138226,0.227621962952885,0.182586872698544,0.220395495522933,0.216648304018255,0.187415756355294,0.201915780438232,0.207770597167083,0.230823180132806
"4",70,7,100,1500,0.05,0.05,0.05,0.229297511972995,0.22859882350135,0.232129721908194,0.169016619941047,0.224360283437267,0.230138431431156,0.228394543538644,0.215327935804338,0.213004187479514,0.234070919878426
"5",70,7,10,500,0.95,0.05,0.05,0.207381303590423,0.207500018298303,0.206810623006669,0.21767231045549,0.212973247990023,0.207244229185499,0.21260616738018,0.215897029747614,0.211430523444973,0.214254800177734
"6",70,7,100,500,0.95,0.05,0.05,0.207284461854987,0.205200069580802,0.201559069657287,0.210646156387034,0.209175000661102,0.203279441271159,0.20838043377145,0.203396796001478,0.207109251412624,0.203488764483999
"7",70,7,10,1500,0.95,0.05,0.05,0.177354869026598,0.177570878795774,0.176674710249222,0.181603042265079,0.177807741554202,0.180693500605844,0.175434807374291,0.181199468924035,0.173129135417876,0.178026641275694
"8",70,7,100,1500,0.95,0.05,0.05,0.175126659125412,0.177447064172047,0.176480630118221,0.176601724786812,0.17458357475296,0.174001221028459,0.177135515979265,0.175513912735716,0.175344822192374,0.17605699710815
"9",70,7,10,500,0.05,0.95,0.05,0.168471665599454,0.170650122988249,0.178608711671538,0.171682062627906,0.182622685440965,0.181284920847413,0.176209597923579,0.168126004636199,0.173462669914561,0.171022530176861
"10",70,7,100,500,0.05,0.95,0.05,0.138242991039251,0.135250360417661,0.140111146881349,0.133052806677303,0.138825401429479,0.136965972110072,0.136865277104867,0.135264243521931,0.134909912701719,0.138928249732488
"11",70,7,10,1500,0.05,0.95,0.05,0.140279670767376,0.14131835362911,0.142042315017073,0.142132356864725,0.14289349097267,0.139773985777844,0.142950100038626,0.141019215231564,0.141836278416681,0.145793699785898
"12",70,7,100,1500,0.05,0.95,0.05,0.114173598184233,0.113259183272076,0.114254856843479,0.112487622669501,0.113531235449885,0.113299585938774,0.111403267228031,0.113064026492173,0.113325482178149,0.110839159869144
"13",70,7,10,500,0.95,0.95,0.05,0.229752424466934,0.228298438457699,0.229508818486435,0.231107812103042,0.225000889533936,0.226605776386633,0.223535457046904,0.243652018456976,0.221151473049293,0.223383536220253
"14",70,7,100,500,0.95,0.95,0.05,0.250404760370061,0.235905756270298,0.243155116655853,0.236350185603886,0.233191071062597,0.252831980320927,0.246896244927235,0.240157499449865,0.222071384537434,0.240983685817795
"15",70,7,10,1500,0.95,0.95,0.05,0.2171386325945,0.206610649639553,0.212740181835605,0.209844506280928,0.225995939782262,0.208154734162164,0.209884342290294,0.219148396100079,0.20872054149302,0.212732475296094
